runner_id,age,gender,previous_marathon_count,training_program,personal_best_minutes,weekly_mileage_km
R086364,64,Female,0,Intermediate,,20
R014239,45,Male,1,Beginner,308,27
R031896,33,Male,1,Beginner,211,20
R066013,49,Male,4,Beginner,258,20
R062451,18,Male,2,Beginner,277,119.6859596
R064925,53,Male,1,Intermediate,232,20
R020502,22,Female,2,Intermediate,224,38.2
R053275,20,Male,5,Intermediate,222,20
R009323,44,Male,1,Beginner,252,20
R091821,38,Male,1,Advanced,199,20
R071081,55,Female,1,Intermediate,287,20
R019614,57,Male,1,Advanced,206,113.3470825
R034303,37,Female,4,Beginner,245,20
R063469,59,Female,4,Intermediate,267,20
R033333,49,Male,1,Beginner,240,20
R088632,41,Male,2,Intermediate,210,20
R003926,26,Female,2,Beginner,238,20
R090500,49,Non-binary,2,Intermediate,243,75.6
R082902,54,Female,1,Beginner,270,20
R031984,19,Female,2,Beginner,214,20
R081113,36,Male,2,Intermediate,244,20
R095448,33,Female,1,Advanced,211,47.6
R036376,59,Female,0,Beginner,,20
R036675,58,Female,2,Intermediate,229,20
R079932,54,Female,2,Intermediate,299,39.6
R025391,54,Male,3,Beginner,222,31.1
R073805,62,Male,1,Intermediate,257,20
R075042,31,Male,3,Advanced,233,21.1
R029702,36,Male,2,Beginner,249,23.1
R053260,54,Female,0,Beginner,,20
R002739,35,Female,3,Intermediate,232,116.9563345
R079127,23,Female,2,Beginner,325,35.6
R017246,35,Male,0,Beginner,,20
R080046,24,Female,3,Advanced,197,32.1
R033221,25,Male,4,Intermediate,266,20
R076992,27,Female,2,Beginner,214,56.4
R013511,45,Male,2,Beginner,241,20
R056161,59,Male,3,Advanced,244,31.8
R005764,22,Female,3,Advanced,208,24.1
R003901,54,Male,2,Intermediate,268,20
R039535,54,Female,3,Beginner,261,47.6
R050082,22,Female,1,Advanced,235,41.4
R066624,44,Female,3,Intermediate,267,107.2793202
R079043,37,Female,4,Beginner,271,20
R044622,57,Female,5,Intermediate,220,20
R011506,43,Female,2,Intermediate,279,20
R075350,56,Female,1,Beginner,258,20
R087369,39,Male,2,Advanced,209,31.7
R072612,19,Female,1,Advanced,248,41.9
R016658,29,Male,1,Beginner,244,20.1
R012575,28,Non-binary,0,Beginner,,32.2
R027560,32,Male,1,Beginner,298,20
R021518,41,Male,2,Beginner,331,26.8
R081254,51,Male,3,Beginner,277,23.5
R018261,39,Male,0,Intermediate,,20
R069073,54,Male,2,Beginner,240,20
R079682,60,Male,2,Beginner,291,100.5324869
R013579,64,Male,2,Intermediate,247,20
R003403,46,Male,2,Intermediate,245,36.2
R085780,19,Female,0,Advanced,,39.5
R059285,57,Female,1,Intermediate,219,21.2
R082550,43,Male,2,Beginner,288,20
R027805,25,Male,2,Advanced,234,41.6
R029072,20,Male,2,Intermediate,236,22.9
R017763,44,Female,1,Beginner,257,43.3
R073170,45,Female,5,Beginner,298,20
R042364,51,Female,1,Intermediate,244,21.6
R094441,34,Male,1,Advanced,236,20
R018351,39,Male,4,Beginner,234,20
R003949,58,Male,0,Beginner,,22.4
R076550,44,Female,6,Intermediate,286,20
R095980,62,Female,3,Beginner,305,20
R062132,19,Male,3,Advanced,197,20
R060228,43,Male,2,Beginner,276,20
R036882,29,Female,2,Intermediate,268,20
R016985,18,Female,2,Intermediate,226,52.4
R004585,18,Male,1,Beginner,294,34.2
R052029,22,Female,2,Beginner,310,44.5
R063796,47,Female,3,Beginner,295,20.8
R060232,43,Male,3,Beginner,308,20
R099146,32,Male,1,Intermediate,209,20
R005284,48,Female,0,Beginner,,20
R021708,42,Female,6,Beginner,295,26.8
R039715,23,Male,1,Beginner,290,23.1
R081294,27,Female,3,Intermediate,198,47.7
R013336,40,Female,4,Intermediate,238,30
R061847,21,Male,3,Beginner,262,116.7859194
R034964,30,Male,4,Advanced,217,20
R031905,63,Female,3,Advanced,220,22.8
R030295,19,Male,5,Beginner,287,20
R035599,63,Non-binary,3,Advanced,240,20
R078346,34,Female,2,Intermediate,262,20
R076710,39,Male,2,Beginner,299,20
R023851,45,Female,3,Beginner,258,21.4
R013912,29,Male,2,Advanced,213,20
R060787,57,Male,1,Intermediate,267,20
R023618,41,Female,1,Beginner,262,30.2
R089196,30,Female,3,Intermediate,232,20
R035142,64,Female,1,Advanced,192,20
R095731,34,Male,2,Advanced,212,20
R067903,45,Female,3,Advanced,190,53.2
R077764,45,Male,1,Intermediate,208,20
R062073,30,Female,1,Intermediate,236,20
R006098,45,Female,2,Intermediate,263,118.4691127
R001653,22,Male,2,Beginner,289,20
R030415,24,Non-binary,0,Intermediate,,20
R097018,44,Female,0,Beginner,,20
R008664,60,Male,2,Advanced,247,41.3
R045720,30,Female,0,Beginner,,44.1
R098412,26,Female,2,Beginner,286,24.6
R017910,48,Female,2,Beginner,257,27.6
R045551,35,Male,1,Advanced,188,20
R047797,18,Female,2,Intermediate,240,20
R074096,30,Male,5,Intermediate,235,39
R007674,54,Female,1,Beginner,239,20
R028191,28,Male,3,Intermediate,283,20
R099425,56,Male,3,Beginner,289,20
R055234,26,Male,2,Beginner,280,20
R088791,27,Male,3,Intermediate,210,23.3
R065845,62,Female,2,Advanced,197,51.6
R092611,45,Male,1,Beginner,281,20
R054288,39,Female,1,Beginner,298,32.3
R092821,28,Male,1,Beginner,313,20
R055741,43,Female,5,Beginner,267,20
R069257,55,Female,2,Advanced,216,20.2
R053740,59,Male,1,Advanced,215,118.7642645
R074054,52,Non-binary,1,Beginner,254,20
R086768,57,Female,4,Beginner,246,20
R020359,38,Male,1,Beginner,252,20
R056107,54,Female,1,Beginner,320,20
R030973,48,Male,1,Beginner,279,42.9
R024778,61,Non-binary,2,Beginner,288,20
R073908,41,Male,1,Beginner,261,20
R039041,28,Female,3,Advanced,215,20
R057931,53,Female,2,Intermediate,263,20
R005807,52,Male,3,Advanced,228,20
R034146,57,Non-binary,2,Beginner,268,20
R013482,24,Female,2,Intermediate,213,20
R015855,30,Male,2,Advanced,270,20
R041292,41,Male,2,Beginner,255,20
R053143,39,Female,1,Intermediate,258,25
R058932,52,Female,3,Beginner,259,20
R048160,39,Male,2,Beginner,284,20
R026781,44,Female,3,Intermediate,245,20
R068590,46,Male,1,Advanced,197,20
R060579,35,Female,1,Beginner,296,20
R038016,55,Male,3,Advanced,231,25.2
R052783,63,Non-binary,2,Beginner,277,22.4
R091557,27,Female,1,Advanced,233,32
R090864,59,Male,2,Beginner,301,21.6
R084206,62,Female,3,Intermediate,233,20
R044697,39,Non-binary,3,Beginner,265,35.9
R036858,31,Female,2,Intermediate,273,20
R065336,65,Female,2,Intermediate,249,20
R085491,22,Female,2,Intermediate,252,21.1
R050549,47,Female,3,Advanced,252,34.7
R017642,62,Female,3,Beginner,304,20
R086544,54,Female,2,Beginner,258,47
R023526,51,Female,4,Beginner,269,32
R039782,27,Non-binary,2,Intermediate,227,20
R096903,53,Male,0,Advanced,,36.7
R096034,54,Male,5,Beginner,287,20
R021632,26,Male,3,Intermediate,262,34.2
R034578,41,Female,4,Intermediate,238,106.5313294
R000589,48,Male,0,Beginner,,33.2
R007818,48,Male,3,Beginner,233,20
R049332,54,Male,4,Beginner,292,20
R098892,27,Male,0,Beginner,,25.2
R000289,53,Female,2,Beginner,320,25.6
R009455,48,Female,1,Beginner,292,20
R029156,59,Female,2,Beginner,281,20
R034586,18,Male,2,Beginner,276,20
R086220,61,Female,2,Beginner,286,30.9
R088663,29,Male,0,Beginner,,20
R087961,41,Male,2,Beginner,292,20
R046857,56,Non-binary,4,Beginner,260,33.5
R091765,50,Male,2,Beginner,231,20
R045938,43,Female,0,Beginner,,20
R002674,60,Female,4,Beginner,236,20
R077705,36,Female,3,Beginner,286,22.7
R072181,33,Male,1,Advanced,227,20
R087067,48,Female,4,Beginner,248,30.8
R061633,37,Male,1,Intermediate,249,20.1
R036938,35,Female,2,Beginner,305,48.7
R011168,30,Female,4,Intermediate,257,20
R087153,49,Female,5,Intermediate,233,60.2
R055046,26,Female,2,Advanced,213,20
R049915,29,Female,3,Advanced,214,22.6
R065849,32,Male,3,Advanced,274,20
R067513,51,Female,4,Advanced,241,23.9
R077523,39,Male,1,Intermediate,244,20
R098307,59,Male,0,Beginner,,20
R029516,39,Female,5,Intermediate,227,20
R094543,25,Male,2,Advanced,187,61.1
R021895,40,Male,0,Beginner,,20
R096280,29,Female,0,Beginner,,20
R025406,58,Female,0,Beginner,,20
R046810,44,Female,3,Beginner,252,28
R011371,49,Female,1,Intermediate,208,23.2
R059845,34,Male,3,Beginner,253,45.8
R013132,34,Female,1,Advanced,229,71
R032139,62,Female,2,Beginner,296,20
R037892,26,Male,2,Advanced,195,61
R047617,42,Female,1,Intermediate,233,32.6
R000596,42,Male,6,Beginner,237,24.1
R018006,57,Male,4,Beginner,270,20
R025759,38,Male,1,Intermediate,252,65.6
R045750,55,Male,3,Intermediate,245,20
R063648,55,Female,3,Intermediate,275,34.1
R022575,33,Female,4,Beginner,304,24.6
R031530,34,Male,3,Intermediate,307,20
R023107,59,Female,2,Intermediate,260,20
R054293,64,Female,5,Intermediate,256,20
R072038,19,Non-binary,0,Advanced,,20
R088860,34,Female,1,Beginner,296,28.6
R040536,20,Female,0,Intermediate,,55.7
R054283,41,Male,4,Beginner,239,20
R010627,45,Male,5,Beginner,285,20
R044723,18,Female,4,Beginner,271,20
R006487,32,Female,3,Intermediate,271,20.8
R019194,62,Non-binary,0,Intermediate,,20
R015227,56,Male,0,Beginner,,20
R008573,27,Female,1,Beginner,278,20
R090907,46,Female,0,Advanced,,43.1
R024907,48,Female,2,Intermediate,228,35.3
R014509,43,Male,2,Advanced,209,20.3
R074924,44,Non-binary,0,Intermediate,,100.3056224
R065902,24,Male,1,Advanced,225,34.8
R033467,41,Male,3,Beginner,286,20
R072740,61,Female,2,Advanced,219,49.9
R008487,56,Female,3,Beginner,282,20
R091697,19,Male,1,Advanced,229,50.9
R017745,32,Female,2,Beginner,252,23.9
R048472,36,Male,0,Advanced,,29.6
R066331,26,Male,2,Beginner,298,20
R002386,30,Male,2,Advanced,214,49.8
R014834,61,Male,2,Beginner,265,40.8
R069255,26,Female,3,Beginner,282,28.6
R079701,49,Male,2,Intermediate,286,21.4
R070126,38,Male,2,Beginner,281,33.8
R068002,31,Female,2,Intermediate,268,20.7
R041930,60,Male,1,Intermediate,264,62.3
R021297,39,Female,2,Beginner,266,20
R028728,40,Non-binary,3,Intermediate,235,33.6
R071352,24,Male,1,Beginner,285,26
R074117,28,Male,2,Beginner,229,20
R074612,18,Male,4,Beginner,295,54
R093107,33,Female,3,Beginner,289,20
R078002,36,Male,1,Beginner,322,20
R048013,63,Female,1,Advanced,229,48.6
R082671,61,Female,0,Beginner,,20
R062256,42,Male,1,Beginner,289,52.9
R036528,45,Female,5,Beginner,329,20
R000835,23,Male,1,Intermediate,228,20
R055912,56,Female,3,Intermediate,241,20
R055832,22,Male,1,Beginner,267,25.2
R098384,25,Male,1,Beginner,318,20
R004782,49,Female,1,Beginner,292,20.3
R030720,63,Female,2,Intermediate,251,37
R035854,52,Non-binary,3,Advanced,220,20
R092058,20,Male,2,Intermediate,297,20
R043740,31,Male,5,Intermediate,240,20
R096240,58,Male,1,Beginner,296,20
R098640,62,Female,3,Advanced,223,50.3
R068535,45,Male,0,Intermediate,,20
R025047,47,Female,1,Advanced,175,40.9
R086736,26,Female,4,Intermediate,224,33.6
R069582,63,Female,0,Beginner,,38.9
R055420,57,Female,1,Beginner,301,20
R054316,26,Female,1,Intermediate,249,20
R063269,38,Male,3,Advanced,206,20
R081303,45,Male,3,Beginner,263,26.4
R085113,65,Female,2,Intermediate,251,20
R089650,28,Female,5,Beginner,276,20
R017497,36,Female,2,Intermediate,270,31.8
R070495,26,Male,4,Beginner,277,20
R070896,37,Female,0,Beginner,,44.8
R025267,42,Male,3,Beginner,286,106.7117788
R005252,30,Male,5,Beginner,253,20
R080400,24,Female,3,Advanced,189,27.7
R064845,18,Female,3,Advanced,238,20
R001207,19,Female,0,Intermediate,,34.9
R056261,34,Female,0,Advanced,,51.3
R035057,36,Male,0,Beginner,,20
R056907,18,Female,4,Intermediate,263,50.6
R039641,20,Male,2,Intermediate,230,38.1
R096529,31,Female,1,Beginner,307,40.9
R036167,27,Male,1,Advanced,189,20
R066802,58,Male,1,Intermediate,244,39.7
R021109,23,Non-binary,2,Intermediate,274,22.8
R062038,37,Female,3,Beginner,245,20
R076246,25,Male,1,Advanced,247,39
R032144,18,Non-binary,2,Beginner,294,20
R019885,39,Male,2,Intermediate,269,32.8
R038823,56,Female,2,Beginner,306,32
R008929,20,Male,3,Advanced,219,25.1
R036523,36,Male,2,Beginner,280,57.6
R023939,51,Male,2,Beginner,236,22.2
R051458,43,Female,4,Beginner,272,20.1
R007756,46,Male,0,Beginner,,40.1
R098320,34,Male,3,Intermediate,220,48
R013935,19,Male,4,Beginner,294,20
R084770,40,Female,1,Intermediate,234,36.9
R039735,56,Male,1,Beginner,292,20
R019552,19,Female,3,Beginner,265,20
R029104,29,Male,5,Advanced,233,20
R015625,43,Male,1,Intermediate,201,25.9
R037320,55,Male,0,Beginner,,38.1
R084303,22,Male,3,Beginner,280,23
R047789,58,Female,2,Intermediate,250,24.3
R003351,62,Female,2,Intermediate,239,20
R032504,19,Male,2,Intermediate,238,44.7
R034246,32,Male,6,Beginner,314,41.4
R020416,19,Male,3,Beginner,276,59
R025422,31,Non-binary,1,Beginner,263,20
R089961,38,Male,0,Advanced,,60.9
R091495,28,Female,3,Intermediate,242,20
R033425,18,Male,2,Advanced,206,20
R091471,63,Female,1,Intermediate,217,36.1
R024109,63,Male,0,Beginner,,51.7
R082411,48,Male,4,Intermediate,230,40.7
R054038,21,Female,2,Intermediate,247,20
R068781,59,Female,0,Beginner,,20
R031211,55,Male,2,Beginner,321,20
R022048,51,Female,2,Intermediate,239,45.6
R065614,57,Non-binary,4,Intermediate,268,20
R015629,33,Male,1,Beginner,268,57.9
R005642,64,Female,2,Intermediate,242,20
R068728,57,Female,2,Beginner,290,20
R066081,57,Female,0,Beginner,,20
R063399,26,Female,2,Intermediate,241,24.5
R045542,62,Female,1,Intermediate,269,25.2
R024030,51,Female,2,Beginner,266,20
R072142,22,Female,0,Beginner,,20
R095291,43,Female,2,Beginner,222,20
R066879,47,Male,1,Beginner,263,29.7
R095419,32,Female,3,Intermediate,271,20
R029665,41,Male,1,Beginner,269,20
R092676,37,Female,1,Intermediate,234,35.8
R016973,39,Female,3,Beginner,292,21.8
R087048,33,Female,1,Beginner,259,20
R026026,43,Male,2,Intermediate,241,21.2
R015415,20,Female,5,Advanced,211,26.5
R076485,56,Male,1,Intermediate,259,27.9
R060163,33,Female,0,Intermediate,,45
R080478,56,Female,1,Intermediate,248,20
R094808,54,Male,2,Advanced,226,102.9274286
R061910,22,Female,0,Intermediate,,20
R034743,30,Male,1,Advanced,193,20
R086600,51,Male,1,Advanced,234,20
R054105,30,Male,4,Intermediate,239,45.5
R028423,46,Male,0,Beginner,,39.6
R018465,46,Female,1,Beginner,293,20
R010438,22,Female,2,Beginner,267,20
R044068,19,Female,2,Beginner,244,32.8
R044209,51,Female,4,Advanced,216,87.1
R058276,45,Male,0,Intermediate,,54.7
R019344,45,Male,3,Advanced,219,23.5
R032541,42,Male,3,Beginner,302,31
R025283,61,Female,0,Intermediate,,39.9
R021870,51,Male,2,Beginner,304,31.1
R048300,39,Female,1,Advanced,226,25
R060485,55,Female,4,Advanced,239,63.3
R002802,56,Male,5,Beginner,257,20
R035654,55,Male,3,Advanced,213,20
R047549,49,Female,2,Intermediate,273,31.7
R058387,57,Female,4,Advanced,220,67.5
R029624,64,Female,0,Beginner,,27.9
R052863,61,Female,6,Intermediate,255,37.3
R097182,61,Female,5,Intermediate,234,45.5
R017446,58,Male,3,Intermediate,238,20
R069440,62,Male,1,Beginner,240,30
R060846,57,Male,2,Beginner,270,20
R046792,34,Male,2,Beginner,267,25.6
R071798,52,Male,0,Beginner,,20
R054480,37,Male,4,Beginner,288,20
R072279,48,Female,2,Intermediate,263,20
R038731,39,Non-binary,0,Intermediate,,28.9
R019692,41,Male,1,Intermediate,279,20
R067156,50,Female,2,Advanced,188,102.495058
R054697,38,Female,0,Intermediate,,73
R022004,29,Male,3,Advanced,227,41.7
R099836,47,Male,2,Intermediate,252,20
R064062,44,Female,1,Beginner,279,30.9
R013408,24,Male,1,Intermediate,235,20
R049243,45,Male,4,Intermediate,225,20
R072376,24,Female,5,Beginner,247,22.1
R078538,48,Female,1,Intermediate,262,38.2
R009150,52,Non-binary,1,Intermediate,244,21.1
R027802,49,Male,1,Beginner,284,20
R013692,60,Female,7,Advanced,226,20
R044258,54,Non-binary,3,Advanced,226,34.2
R055204,44,Male,2,Beginner,320,31.6
R029971,61,Female,3,Intermediate,282,50.7
R079756,43,Male,1,Beginner,275,20.1
R004301,58,Female,1,Beginner,322,20
R007387,43,Male,3,Beginner,246,53.8
R012254,56,Non-binary,3,Advanced,214,20
R056798,26,Male,1,Intermediate,223,20
R082195,35,Female,1,Beginner,282,20
R006832,23,Male,2,Advanced,247,50
R001958,46,Female,0,Beginner,,35.6
R049011,30,Male,2,Intermediate,212,39
R029294,64,Male,3,Beginner,278,31.2
R053947,42,Non-binary,1,Advanced,237,48.9
R027119,61,Male,4,Intermediate,268,52.6
R004523,46,Female,2,Beginner,267,20.5
R005210,48,Female,1,Advanced,232,55.5
R083819,25,Female,5,Beginner,287,44.3
R066671,24,Non-binary,3,Beginner,286,27.9
R054679,27,Male,3,Advanced,252,20
R002704,45,Male,3,Beginner,219,20
R038111,19,Female,2,Intermediate,223,29.1
R055138,43,Male,1,Intermediate,255,20
R085088,45,Female,3,Advanced,225,42.5
R038940,43,Female,2,Beginner,296,20
R089289,37,Male,3,Intermediate,265,33.2
R059098,42,Non-binary,1,Intermediate,317,45.4
R095700,50,Female,2,Intermediate,278,23.9
R001629,54,Male,2,Advanced,194,20
R046775,44,Male,1,Intermediate,277,20
R002025,58,Male,3,Advanced,238,37
R088911,44,Female,4,Beginner,292,32
R078777,56,Female,2,Beginner,279,20
R084512,24,Male,1,Beginner,299,20
R082930,44,Male,3,Intermediate,251,40
R038473,59,Female,4,Intermediate,235,32.9
R063702,37,Male,2,Advanced,230,24.9
R005891,57,Female,7,Beginner,275,20
R068662,62,Female,5,Beginner,338,25.2
R060966,19,Male,3,Beginner,215,26.6
R028158,28,Male,3,Beginner,294,20
R092310,42,Male,1,Beginner,267,46.6
R070987,53,Male,2,Beginner,289,34.5
R008481,51,Male,4,Intermediate,210,21.3
R024673,25,Female,1,Beginner,277,20
R018464,35,Female,2,Beginner,273,57.4
R010838,46,Non-binary,0,Beginner,,20
R056500,25,Non-binary,0,Intermediate,,24.5
R033776,61,Female,1,Intermediate,252,20
R000909,40,Male,4,Advanced,256,109.5259109
R010192,19,Female,3,Advanced,219,20
R029929,24,Non-binary,1,Advanced,190,20
R099805,29,Female,2,Beginner,295,20.2
R030154,45,Female,3,Beginner,277,20
R074298,51,Male,1,Beginner,249,20
R070779,21,Female,4,Intermediate,254,20
R015063,19,Male,6,Beginner,261,20
R004059,62,Female,0,Beginner,,22.6
R088030,28,Female,5,Beginner,257,51.7
R033726,57,Male,2,Intermediate,287,23
R093773,22,Male,2,Advanced,251,33.7
R099052,32,Male,0,Beginner,,38.7
R022036,65,Female,1,Intermediate,234,20.8
R002131,27,Female,3,Beginner,286,20
R028484,64,Male,4,Beginner,229,26.3
R007079,21,Female,1,Advanced,237,20
R048371,56,Male,1,Beginner,286,28.4
R090437,49,Male,2,Beginner,290,41.1
R053522,39,Female,5,Advanced,245,70.7
R013490,33,Male,0,Beginner,,20
R060908,41,Male,1,Beginner,289,20
R036352,64,Female,2,Intermediate,262,28.5
R045310,28,Female,4,Beginner,279,44.9
R028237,42,Female,1,Advanced,218,48.4
R016662,39,Female,1,Beginner,281,28.3
R066585,28,Male,2,Beginner,271,28.1
R028155,56,Male,0,Beginner,,35.5
R095261,60,Male,3,Beginner,336,55.5
R070880,54,Female,3,Advanced,210,20
R093540,25,Male,1,Beginner,274,20
R044626,42,Female,0,Intermediate,,107.0665182
R094979,19,Male,3,Advanced,233,20
R064365,52,Male,0,Intermediate,,20
R007465,41,Male,2,Beginner,280,22.2
R082057,18,Female,1,Beginner,266,20
R012010,61,Female,1,Beginner,276,109.5941287
R003336,37,Male,4,Intermediate,257,20
R063976,64,Female,5,Beginner,308,33.2
R024657,27,Male,2,Beginner,301,20.6
R047624,34,Female,1,Beginner,266,20
R047386,56,Female,0,Advanced,,31.5
R037974,64,Female,1,Beginner,278,30.4
R048292,21,Male,2,Beginner,250,21.5
R046118,19,Female,3,Beginner,295,20
R004682,60,Female,1,Beginner,289,28.4
R042351,27,Female,3,Intermediate,250,20
R061493,52,Male,2,Intermediate,287,26.1
R088133,22,Male,0,Beginner,,31.2
R047465,53,Male,1,Intermediate,261,20
R073408,62,Male,2,Beginner,234,20
R085558,60,Female,1,Beginner,256,20
R080586,24,Male,0,Beginner,,20
R004372,33,Female,2,Intermediate,274,20
R059536,21,Male,0,Advanced,,40
R081516,59,Male,0,Beginner,,20.1
R051425,33,Male,2,Advanced,228,33.2
R019118,22,Female,3,Beginner,280,23.2
R091611,24,Male,3,Intermediate,242,20
R061498,43,Female,5,Intermediate,214,20
R024012,62,Female,3,Intermediate,197,33.6
R093930,49,Male,1,Intermediate,212,45.1
R084922,49,Female,2,Beginner,310,33.6
R019282,27,Female,2,Intermediate,300,46.4
R014715,39,Male,2,Advanced,169,66.1
R021772,25,Male,3,Intermediate,276,27.1
R088082,20,Female,1,Intermediate,230,20
R017077,27,Male,3,Beginner,302,20
R023292,33,Male,3,Beginner,264,20
R041042,27,Non-binary,0,Beginner,,20
R003871,49,Female,1,Advanced,182,24.5
R001163,57,Female,1,Beginner,269,101.9378104
R011538,44,Female,3,Beginner,284,20
R033533,46,Female,2,Beginner,317,20.8
R003066,64,Female,3,Intermediate,262,30.6
R005362,49,Male,0,Beginner,,114.5640061
R030383,24,Female,2,Intermediate,241,49.5
R053257,28,Male,0,Intermediate,,33.7
R058751,43,Female,5,Beginner,313,20
R050872,25,Male,0,Beginner,,20
R070578,61,Female,0,Beginner,,20
R004694,57,Male,1,Beginner,316,51.8
R039252,57,Male,3,Advanced,213,26.5
R096270,64,Male,1,Intermediate,267,46
R027895,25,Male,0,Beginner,,20
R058820,61,Male,2,Intermediate,266,20
R031526,31,Female,3,Intermediate,229,20
R015084,42,Female,1,Beginner,275,20
R089374,57,Female,3,Beginner,264,20
R094376,34,Male,4,Intermediate,249,20
R009034,38,Female,2,Intermediate,224,20
R047947,54,Male,2,Intermediate,217,33.7
R006248,25,Female,4,Intermediate,284,29.5
R020890,50,Female,1,Intermediate,291,20
R043761,35,Male,3,Beginner,283,30
R087983,43,Male,2,Beginner,282,20
R002765,63,Male,2,Advanced,223,22.7
R058808,48,Male,1,Intermediate,226,50.2
R055123,37,Male,4,Intermediate,230,40.3
R037054,19,Male,1,Beginner,268,23
R063878,48,Non-binary,4,Advanced,212,27
R030693,27,Male,6,Intermediate,274,20
R042653,40,Male,2,Intermediate,240,20
R096792,65,Female,1,Beginner,243,20
